1;5;CONST.MEJORES PRACTICAS - EITI;0;1;1;x
2;6;INCREM.CAPAC.SOC CIVIL - FORD;0;1;1;x
3;10;CONSULTORIAS III;13;1;1;x
4;11;FONDOS ROTATORIOS LA LIBERTAD;13;1;1;x
5;13;CONSULTORIAS NEXA;43;1;1;x
6;14;CONSULTORIAS RAURA MINSUR;43;1;1;x
7;16;BECAS-DESCO;13;1;1;x
8;25;SHAHUINDO CUYES Y PALTAS;4;1;1;x
9;26;MEJ.CADENA VALOR CUYES;4;1;1;x
10;27;MEJ. SEGURIDAD ALIMENTARIA;4;1;1;x
11;28;MEJ. SEGURIDAD ALIMENTARIA 3;4;1;1;x
12;29;CONSULTORIAS VARIAS CAJAMARCA;4;1;1;x
13;37;RIMISP;26;1;1;x
14;43;CADENA DE BANANO ORGANICO;26;1;1;x
15;44;CONTRAP. PROD.COMERCIO Y SERV.;26;1;1;x
16;45;CONTRAP.LINEA AGROIN.INNOVADORA;26;1;1;x
17;46;AUTOFINANCIAMIENTO PIURA;26;1;1;x
18;48;NUEVA LINEA AGROIN.INNOVADORA;42;1;1;x
19;54;PLAN ESTRATEGICO IV;13;1;1;x
20;58;DEVOLUCION IGV LA LIBERTAD;13;1;1;x
21;59;PROYECTO CON MANOS UNIDAS;8;1;1;x
22;65;CITE III;13;1;1;x
23;71;MEJ.CADENA PROD.QUINUA;4;1;1;x
24;74;MEJ. SEGURIDAD ALIMENTARIA 2;4;1;1;x
25;77;CONSULTORIAS LAREDO;13;1;1;x
26;80;AUTOFINANCIAMIENTO CAJAMARCA;4;1;1;x
27;81;AUTOFINANCIAMIENTO LA LIBERTAD;13;1;1;x
28;83;CONTRAPARTIDA CITE III;13;1;1;x
29;86;BRECHAS GENERO-FOREST;13;1;1;x
30;87;DIPLOMADOS;13;1;1;x
31;88;VIVERO SAN JOSE;13;1;1;x
32;89;PY. FORESTAL SANTA CRUZ;14;1;1;x
33;90;PROGRAMA MAD;14;1;1;x
34;91;CONSOLIDACION COOPANORTE;14;1;1;x
35;92;PROG.SERV.AGROP.MINERODUCTO;14;1;1;x
36;93;CRIANZA DE ANIMALES MENORES JUPROG;14;1;1;x
37;94;PY. PRODUCTIVO CHIQUIHUANCA;14;1;1;x
38;95;PLAN CAP.LIDERES EN JUSTICIA FISCAL;0;1;1;x
39;96;AUTOFINANCIAMIENTO GPC LIMA;0;1;1;x
40;97;MEJ.FAMILIAS BOLOGNESI ANTAMINA;14;1;1;x
41;98;PART.CIUD.RECONST.GOBERNANZA Y OTROS;0;1;1;x
